code,filename,causal_event,sentence_nb,causal_type, avg_strength ,agreement_score,text,batch_code
POS,ChainaniSomanAWorldWithoutPrincesMG.txt,“ Our fingers do n’t glow here . ”_“ Why wo n’t you tell me anything that happened ? ”,2_3,IREC,2,1,"“ Our fingers do n’t glow here . ”_“ Why wo n’t you tell me anything that happened ? ” her mother asked , picking her oily dome of black hair .",test1
POS,ClarkBridieYouOnlyLiveOnceYA.txt,"had spent the summer at a soccer camp in California , getting coached by the game ’s greats_Mia Hamm",3_1,IREC,3,1,"Spider had spent the summer at a soccer camp in California , getting coached by the game ’s greats ._Hey , did I tell you guys that Mia Hamm — ” “ Praised your penalty kick ? ”",test1
POS,EverettPercivalPercivalEverettPW.txt,I want a camera_I bought him a camera,1_3,IREC,3,1,"You see I have this one finger that works , a shutter finger , and so I want a camera , he said to me ._I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away .",test1
POS,EverettPercivalPercivalEverettPW.txt,I want to start taking pictures he said _ so I bought him a camera ,2,IRAC,2,1,"Both of his hands , as a matter of fact , worked , along with much of him .",test1
POS,KingsolverBarbaraFlightBehaviorBS.txt,The roof of her house when she saw it again still harbored its dark patches of damaged shingles_she tried to look at the vinylsided ranch house in some born-again way .,1_2,IREC,1,1,"The roof of her house when she saw it again still harbored its dark patches of damaged shingles , and there sat her car in the drive where she ’d parked it ._With her mind aflame and her heels unsteady from what she ’d seen , she tried to look at the vinylsided ranch house in some born-again way .",test1
POS,LittleSaintElizabeth.txt,""" That is her own , own , carriage . """""""" _ """"""""She has millions of money ; and she can have anything she wants -- Jane says so ! """""""" ",1_2,IREC,2,1,""""""""" That is her own , own , carriage . """"""""_"""""""" She has millions of money ; and she can have anything she wants -- Jane says so ! """"""""",test1
POS,LittleSaintElizabeth.txt,"She has millions of money ; and she can have anything she wants -- Jane says so ! """""""" _ """"""""She is very pretty , too",2_3,IREC,2,1,""""""""" She has millions of money ; and she can have anything she wants -- Jane says so ! """"""""_"""""""" She is very pretty , too ; but she is so pale and has such big , sorrowful , black eyes .",test1
POS,McGinnisMindyTheFemaleoftheSpeciesYA.txt,the new calculator plant_The town planners got a little overexcited ,2,IRAC,2,1,The town planners got a little overexcited in the nineties about what they thought the new calculator plant could bring to the community .,test1
POS,McGinnisMindyTheFemaleoftheSpeciesYA.txt,the new calculator plant_ a broken lease and a big empty building two years in,2_3,IREC,2,1,The town planners got a little overexcited in the nineties about what they thought the new calculator plant could bring to the community ._Ended up all it had to offer was a broken lease and a big empty building two years in .,test1
POS,McGinnisMindyTheFemaleoftheSpeciesYA,town planners got a little overexcited in the nineties_we get to the dead zone — a couple of paved streets with real signs ( Fifth and Sixth ) but nothing on them except dead-end drives,2_1,IREC,3,1,"The town planners got a little overexcited in the nineties about what they thought the new calculator plant could bring to the community ._We hit the one light in town on a green and head north , going past three bars and two pizza places before we get to the dead zone — a couple of paved streets with real signs ( Fifth and Sixth ) but nothing on them except dead-end drives .",test1
POS,NixGarthLordSundayMG.txt,It ’s all like a very complicated game_I wonder if anyone really knows,1_2,IREC,2,1,"… It ’s all like a very complicated game , thought Suzy as she spun back towards the Supernumerary ._I wonder if anyone really knows what ’s going on .",test1
POS,PattersonJamesZooBS.txt,The expression “ between the devil and the deep blue sea ” is a nautical one_The devil is what old sailors used to call the seam between two hard-to-reach planks on a ship .,2_3,IREC,1,1,The expression “ between the devil and the deep blue sea ” is a nautical one ._The devil is what old sailors used to call the seam between two hard-to-reach planks on a ship .,test1
POS,PhilbinJoannaTheDaughtersYA.txt, looking like a Sesame Street character _ was that people usually remembered you,1,IRAC,1,1,Lizzie took a wobbly step forward on her Louboutins .,test1
POS,PhilbinJoannaTheDaughtersYA.txt,Lizzie took a wobbly step forward on her Louboutins_looking like a Sesame ,1_2,IREC,1,1,"Lizzie took a wobbly step forward on her Louboutins ._The good thing about looking like a Sesame Street character , she thought , was that people usually remembered you .",test1
POS,PicoultJodiMySistersKeeperBS.txt,When we were little we ’d make this bridge_to see how many Barbies we could get to balance on it,3,IREC,3,1,When we were little we ’d make this bridge and try to see how many Barbies we could get to balance on it .,test1
POS,PicoultJodiMySistersKeeperBS.txt,we were little we ’d make this bridge_She reaches between our beds,3_1,IREC,2,1,"When we were little we ’d make this bridge and try to see how many Barbies we could get to balance on it ._She reaches between our beds , which are just far apart enough for us to touch each other if we both try .",test1
POS,PicoultJodiMySistersKeeperBS.txt,we were little we ’d make this bridge_I hold out my hand,3_2,IREC,2,1,"When we were little we ’d make this bridge and try to see how many Barbies we could get to balance on it ._I hold out my hand , too .",test1
POS,SelfWillUmbrellaPW.txt,Had suspended herself from the completely reliable pipe_and so in death she was wedged in the awkward gap between it and a white-painted window,1,IRAC,3,1,"He saw rivulets of urine and faeces running down the gutters between metatarsals , plip-plopping into the commode while up above the cistern splutters unceasing . . . That first suicide , which he had not only looked upon but also helped Mboya – the nice nurse – to cut down , had suspended herself from the completely reliable pipe – and so in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence – yet more evidence – if any were needed – of how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations . . . while the inmates remained the same , patient only in the way she now was : inert , with no sign of her bowels having been emptied apart from . . . that smell .",test1
POS,SelfWillUmbrellaPW.txt,cubicle was partitioned into existence_she was wedged in the awkward gap between it and a white-painted window,1,IRAC,2,1,"He saw rivulets of urine and faeces running down the gutters between metatarsals , plip-plopping into the commode while up above the cistern splutters unceasing . . . That first suicide , which he had not only looked upon but also helped Mboya – the nice nurse – to cut down , had suspended herself from the completely reliable pipe – and so in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence – yet more evidence – if any were needed – of how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations . . . while the inmates remained the same , patient only in the way she now was : inert , with no sign of her bowels having been emptied apart from . . . that smell .",test1
POS,SelfWillUmbrellaPW.txt,the hospital altered its own cellular structure_white-painted window that had been halved lengthwise,1,IRAC,2,1,"He saw rivulets of urine and faeces running down the gutters between metatarsals , plip-plopping into the commode while up above the cistern splutters unceasing . . . That first suicide , which he had not only looked upon but also helped Mboya – the nice nurse – to cut down , had suspended herself from the completely reliable pipe – and so in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence – yet more evidence – if any were needed – of how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations . . . while the inmates remained the same , patient only in the way she now was : inert , with no sign of her bowels having been emptied apart from . . . that smell .",test1
POS,SelfWillUmbrellaPW.txt,"first suicide_her papery skin , oh so fine , crinkled into the flannelette",1_2,IREC,3,1,"He saw rivulets of urine and faeces running down the gutters between metatarsals , plip-plopping into the commode while up above the cistern splutters unceasing . . . That first suicide , which he had not only looked upon but also helped Mboya – the nice nurse – to cut down , had suspended herself from the completely reliable pipe – and so in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence – yet more evidence – if any were needed – of how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations . . . while the inmates remained the same , patient only in the way she now was : inert , with no sign of her bowels having been emptied apart from . . . that smell ._Instead , her papery skin , oh so fine , crinkled into the flannelette of a too-big nightie .",test1
POS,SelfWillUmbrellaPW.txt,had suspended herself from the completely reliable pipe_in death she was wedged in the awkward gap between it and a white-painted window that had been halved lengthwise when this cubicle was partitioned into existence,2,IRAC,2,1,"Instead , her papery skin , oh so fine , crinkled into the flannelette of a too-big nightie .",test1
POS,SteohensJohnTheEmeraldAtlasMG.txt,"She ’d fallen asleep_The train jerked , waking Kate . ",3_2,IREC,3,1,"She ’d fallen asleep against the window , and her forehead was cold ._CHAPTER TWO Miss Crumley ’s Revenge The train jerked , waking Kate .",test1
POS,TheCochineal.txt,how small it is ! See how it moves its feet_how wonderful that GOD should have made this little creature ,3,IRAC,1,1,"See how it moves its feet -- how wonderful that GOD should have made this little creature ! """"""""",test1
POS,TheCochineal.txt,"he turned towards me , and pointed to a little insect_how wonderful that GOD should have made this little creature",3_1,IREC,1,1,"See how it moves its feet -- how wonderful that GOD should have made this little creature ! """"""""_As I was one day studying in the same room with my little son , a child of ten years old , he turned towards me , and pointed to a little insect which was crawling on a sheet of paper .",test1
POS,TheRockyIslandandOt.txt,dreary-looking island at the first view_I thought that no one could dwell in it ,1,IRAC,3,1,"It was a sad , dreary-looking island at the first view , and I thought that no one could dwell in it ; but as I looked closer at its shores , I saw that they were covered with children at play .",test1
POS,WargaJasmineMyHeartAndOtherBlackHolesYA.txt,Football season was over_there was nothing good to watch on TV,1,IRAC,3,1,"My classmates all clamor , shouting out ridiculous things like “ He did n’t have anyone to hang out with on Saturday night ” or “ Football season was over so there was nothing good to watch on TV . ”",test1
POS,YorkAlissaEffigyPW.txt,work through the day_She ’ll have no choice now but to deny her nocturnal tendencies,2,IRAC,3,1,She ’ll have no choice now but to deny her nocturnal tendencies and work through the day .,test1
POS,AlexanderKwameTheCrossoverMG.txt,as I got older and started getting game_the name took on a new meaning ,1,IRAC,2,1,"But , as I got older and started getting game , the name took on a new meaning .",test1
POS,AlexanderKwameTheCrossoverMG.txt,"I ’d score , rebound , or steal a ball_ Keep it funky , Filthy !",2_3,IREC,3,1,"And even though I was n’t into all that jazz , every time I ’d score , rebound , or steal a ball , Dad would jump up smiling and screamin ’ , That ’s my boy out there ._Keep it funky , Filthy !",test1
POS,AmongtheFarmyardPeop.txt,who can get a Swallow to tell him stories of the great world_happy is the Squab,2,IRAC,2,1,""""""""" Is n't it good to be home , home , home ! """""""" sang one Swallow .",test1
POS,BimbiStoriesforChild.txt,"so full is the little town of the undisturbed past_that to walk in it is like opening a missal of the Middle Ages , all emblazoned and illuminated with saints and warriors",1,IRAC,3,1,"A little farther on , but close at hand , is a cloister with beautiful marble columns and tombs , and a colossal wood-carved Calvary , and beside that a small and very rich chapel ; indeed , so full is the little town of the undisturbed past , that to walk in it is like opening a missal of the Middle Ages , all emblazoned and illuminated with saints and warriors , and it is so clean , and so still , and so noble , by reason of its monuments and its historic color , that I marvel much no one has ever cared to sing its praises .",test1
POS,BimbiStoriesforChild.txt,"There is the girdle of the mountains all around_and that alone means strength , peace , majesty",2,IRAC,2,1,"The old pious , heroic life of an age at once more restful and more brave than ours still leaves its spirit there , and then there is the girdle of the mountains all around , and that alone means strength , peace , majesty .",test1
POS,BlackHollyTheGoldenTowerMG.txt,In a full-grown wolf_it was downright dangerous,1,IRAC,3,1,"It had been cute when he was a pup but was downright dangerous in a full-grown wolf , even if he was n’t Chaos-ridden .",test1
POS,BrownDanInfernoBS.txt,Retrieved its contents_he opened one of the boxes,3,IRAC,3,1,"He opened one of the boxes and retrieved its contents — in this case , a bright red memory stick .",test1
POS,BrownDanInfernoBS.txt,He opened one of the boxes_He exited his soundproofed glass cubicle,3_1,IREC,3,1,"He opened one of the boxes and retrieved its contents — in this case , a bright red memory stick ._He exited his soundproofed glass cubicle , walking past a half-dozen other chambers — some transparent , some opaque — in which duty officers were handling other aspects of this same mission .",test1
POS,BrownDanInfernoBS.txt,He opened one of the boxes_walking past a half-dozen other chambers,3_1,IREC,3,1,"He opened one of the boxes and retrieved its contents — in this case , a bright red memory stick ._He exited his soundproofed glass cubicle , walking past a half-dozen other chambers — some transparent , some opaque — in which duty officers were handling other aspects of this same mission .",test1
POS,BrownDanInfernoBS.txt,"He opened one of the boxes_Knowlton crossed through the thin, processed air of the main control room",3_2,IREC,3,1,"He opened one of the boxes and retrieved its contents — in this case , a bright red memory stick ._Knowlton crossed through the thin , processed air of the main control room , nodding to the tech crew , and entered a small walk-in vault containing a dozen strongboxes .",test1
POS,BrownDanInfernoBS.txt,He opened one of the boxes_entered a small walk-in vault containing a dozen strongboxes,3_2,IREC,3,1,"He opened one of the boxes and retrieved its contents — in this case , a bright red memory stick ._Knowlton crossed through the thin , processed air of the main control room , nodding to the tech crew , and entered a small walk-in vault containing a dozen strongboxes .",test1
POS,CampbellBonnieJoAmericanSalvagePW.txt,"He ’d never done any serious plumbing _he had been staring at the pipes and fixtures , trying to decide how to proceed . ",2_1,IREC,3,1,"He ’d never done any serious plumbing , and he was nervous about tearing out the wall ._Jerry had gotten the water turned off to the bathroom upstairs , and for two hours he had been staring at the pipes and fixtures , trying to decide how to proceed .",test1
POS,CampbellBonnieJoAmericanSalvagePW.txt,He called it quits_and sat on the other side of the cooler Holroyd had dragged out onto the tailgate,3,IRAC,3,1,"When he saw Holroyd , he called it quits and came down and sat on the other side of the cooler Holroyd had dragged out onto the tailgate .",test1
POS,CampbellBonnieJoAmericanSalvagePW.txt,he saw Holroyd_he called it quits and came down,3,IRAC,3,1,"When he saw Holroyd , he called it quits and came down and sat on the other side of the cooler Holroyd had dragged out onto the tailgate .",test1
POS,CassKieraTheEliteYA.txt,Aspen was my first love_all the feelings I’d been trying to let go of flooded my heart,2_1,IREC,3,1,"Aspen was my first love ; when I looked at him … I was his ._He was n’t technically my boyfriend anymore — he ’d broken up with me before my name was even drawn for the Selection — but when he showed up at the palace as one of the guards , all the feelings I ’d been trying to let go of flooded my heart .",test1
POS,ChainaniSomanAWorldWithoutPrincesMG.txt,"“ I told you I ca n’t do magic anymore , ” Agatha snapped_“ Why wo n’t you tell me anything that happened ? ” her mother asked ,",1_3,IREC,2,1,"“ I told you I ca n’t do magic anymore , ” Agatha snapped , closing the door behind them ._“ Why wo n’t you tell me anything that happened ? ” her mother asked , picking her oily dome of black hair .",test1
POS,ChainaniSomanAWorldWithoutPrincesMG.txt,Our fingers don’t glow here_I can’t do magic anynore,2_1,IREC,2,1,"“ Our fingers do n’t glow here . ”_“ I told you I ca n’t do magic anymore , ” Agatha snapped , closing the door behind them .",test1
POS,ClarkBridieYouOnlyLiveOnceYA.txt,"Spider had spent the summer at a soccer camp in California , getting coached by the game ’s greats_Praised your penalty kick",3_2,IREC,2,1,"Spider had spent the summer at a soccer camp in California , getting coached by the game ’s greats ._Annabel fills in .",test1
POS,CollinsSuzanneCatchingFireYA.txt,Hunting in the woods surrounding District 12 violates at least a dozen laws_is punishable by death,1,IRAC,3,1,Hunting in the woods surrounding District 12 violates at least a dozen laws and is punishable by death .,test1
POS,CollinsSuzanneCatchingFireYA.txt,"To sponsor Peeta and me during the Games_Greasy Sae, the old woman who serves up soup, started a collection",3,IRAC,3,1,"Gale told me that Greasy Sae , the old woman who serves up soup , started a collection to sponsor Peeta and me during the Games .",test1
POS,EverettPercivalPercivalEverettPW.txt,"I bought him a camera , a digital Leica as all cameras are digital now_he making a mock complaint about wanting film ",3,IRAC,3,1,"I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away .",test1
POS,EverettPercivalPercivalEverettPW.txt,Holding the camera in his lap_failing to look through the eyepiece or at the little screen,3,IRAC,3,1,"I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away .",test1
POS,EverettPercivalPercivalEverettPW.txt,"I bought him a camera , a digital Leica_he making a mock complaint about wanting film",3,IRAC,2,1,"I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away .",test1
POS,EverettPercivalPercivalEverettPW.txt,I want to start taking pictures_and so I want a camera,3_1,IREC,3,1,"I want to start taking pictures he said and I told him that was a great idea and so I bought him a camera , a digital Leica as all cameras are digital now , he making a mock complaint about wanting film , I want the chemicals and all , he said , but finally made nothing of it , holding the camera in his lap , failing to look through the eyepiece or at the little screen , and snapping away ._You see I have this one finger that works , a shutter finger , and so I want a camera , he said to me .",test1
POS,GarciaKamiDangerousCreaturesYA.txt,Now the chicks are lining up_You’re welcome,2_3,IREC,2,1,"“ I ’m saying , you used to be kinda sorry , Stay Puft , and now the chicks are lining up ._You ’re welcome . ”",test1
POS,HannahKristinFireflyLaneBS.txt,To keep her busy and quiet_her grandma always gave her stuff like this,2,IRAC,3,1,"As a present , it sort of sucked , but her grandma always gave her stuff like this — projects to keep her busy and quiet .",test1
POS,HannahKristinFireflyLaneBS.txt,"To keep her busy and quiet_in front of her, on the coffee table, was an empty scrapbook",2_1,IREC,3,1,"As a present , it sort of sucked , but her grandma always gave her stuff like this — projects to keep her busy and quiet ._In front of her , on the coffee table , was an empty scrapbook .",test1
POS,HunterC.C.AwakeatDawnYA.txt,hoping to wash away the start of tears_she shoved the almost empty glass into the hands of the person beside her,1,IRAC,1,1,"Blinking , hoping to wash away the start of tears , she shoved the almost empty glass into the hands of the person beside her .",test1
POS,KingsolverBarbaraFlightBehaviorBS.txt,She’d parked it_there sat her car,1,IRAC,2,1,"The roof of her house when she saw it again still harbored its dark patches of damaged shingles , and there sat her car in the drive where she ’d parked it .",test1
POS,KingsolverBarbaraFlightBehaviorBS.txt,she tried to look_With her mind aflame and her heels unsteady from what she ’d seen,2,IRAC,2,1,"With her mind aflame and her heels unsteady from what she ’d seen , she tried to look at the vinylsided ranch house in some born-again way .",test1
POS,KingsolverBarbaraFlightBehaviorBS.txt,"Whatever had gained purchase on her vision up there felt violent , like a flood , strong enough to buckle the dark roof and square white corners of home and safety ._she tried to look at the vinylised ranch house in some born-again way",3_2,IREC,1,1,"Whatever had gained purchase on her vision up there felt violent , like a flood , strong enough to buckle the dark roof and square white corners of home and safety ._With her mind aflame and her heels unsteady from what she ’d seen , she tried to look at the vinylsided ranch house in some born-again way .",test1
POS,MallonThomasWatergatePW.txt,she ’d had such a nice off-and-on Platonic case_The closest she ’d ever gotten to it were those letters from Willard Straight,1,IRAC,2,1,"The closest she ’d ever gotten to it were those letters from Willard Straight , on whom she ’d had such a nice off-and-on Platonic case , until the flu made off with him after the First War .",test1
POS,MallonThomasWatergatePW.txt,You who are fond of the game_would love it here,2,IRAC,3,1,"You who are fond of the game would love it here , he ’d written her from Moscow as the workers began their revolt , the year before her wedding .",test1
POS,MarjoriesVacation.txt,"Kingdon carefully cut small locks from the kitten, the doll, and the bear_to the playroom they went",1,IRAC,3,1,"To the playroom they went , and Kingdon carefully cut small locks from the kitten , the doll , and the bear , and Marjorie neatly tied them with narrow blue ribbons .",test1
POS,MarjoriesVacation.txt,Marjorie neatly tied them with narrow blue ribbons_to the playroom they went,1,IRAC,3,1,"To the playroom they went , and Kingdon carefully cut small locks from the kitten , the doll , and the bear , and Marjorie neatly tied them with narrow blue ribbons .",test1
POS,MarjoriesVacation.txt,Carefully treasured all through the summer_these mementoes the girls put away,2,IRAC,3,1,"These mementoes the girls put away , and carefully treasured all through the summer .",test1
POS,MarjoriesVacation.txt,Carefully treasured all through the summer_Marjorie nearly tied them with narrow blue ribbons,2_1,IREC,3,1,"These mementoes the girls put away , and carefully treasured all through the summer ._To the playroom they went , and Kingdon carefully cut small locks from the kitten , the doll , and the bear , and Marjorie neatly tied them with narrow blue ribbons .",test1
POS,McGinnisMindyTheFemaleoftheSpeciesYA,Head north_going past three bars and two pizza places,1,IRAC,2,1,"We hit the one light in town on a green and head north , going past three bars and two pizza places before we get to the dead zone — a couple of paved streets with real signs ( Fifth and Sixth ) but nothing on them except dead-end drives .",test1
POS,PhilbinJoannaTheDaughtersYA.txt,Looking like a Sesame Street character_people usually remembered you,2,IRAC,2,1,"The good thing about looking like a Sesame Street character , she thought , was that people usually remembered you .",test1
POS,PicoultJodiMySistersKeeperBS.txt,"She reaches between our beds_I hold out my hand, too",1_2,IREC,3,1,"She reaches between our beds , which are just far apart enough for us to touch each other if we both try ._I hold out my hand , too .",test1
POS,RothPhilipEverymanPW.txt,He used to take them and wear them_he’d always had a watch that was out of that drawer,2,IRAC,3,1,He used to take them and wear them — he always had a watch that was out of that drawer .,test1
POS,SilvaDanielEnglishGirlBS.txt,under the tutelage of your friend Uzi Navot_King Saul Boulevard is telling the prime minister that a unilateral war with the Persians would be a catastrophe of biblical proportions,3,IRAC,1,1,"And King Saul Boulevard , under the tutelage of your friend Uzi Navot , is telling the prime minister that a unilateral war with the Persians would be a catastrophe of biblical proportions . ”",test1
POS,TheCochineal.txt,"pointed to a little insect which was crawling on a sheet of paper_”"""""" Look , papa , """""""" said he , """""""" look at that insect ; how small it is !",1_2,IREC,2,1,"As I was one day studying in the same room with my little son , a child of ten years old , he turned towards me , and pointed to a little insect which was crawling on a sheet of paper ._"""""""" Look , papa , """""""" said he , """""""" look at that insect ; how small it is !",test1
POS,ThePigeonPie.txt,With rubbing_which shone bright,2,IRAC,3,1,"The walls were wainscoted with dark oak , as well as the floor , which shone bright with rubbing , and stag ’s antlers projected from them , on which hung a sword in its sheath , one or two odd gauntlets , an old-fashioned helmet , a gun , some bows and arrows , and two of the broad shady hats then in use , one with a drooping black feather , the other plainer and a good deal the worse for wear , both of a small size , as if belonging to a young boy .",test1
POS,TheRockyIslandandOt.txt,"running after the sea-birds , which ran with quick light feet along the wet sand , and ever flew off , skimming just along the wave-top_uttering a quick sharp note as the children came close upon them",3,IRAC,2,1,"I saw no grown people among them ; but the children were all busy -- some picking up shells ; some playing with the bright-coloured berries of a prickly dwarf-plant which grew upon those sands ; some watching the waves as they ran up and then fell back again on that shore ; some running after the sea-birds , which ran with quick light feet along the wet sand , and ever flew off , skimming just along the wave-top , and uttering a quick sharp note as the children came close upon them : -- so some sported in one way , and some in another , but all were busily at play .",test1
POS,WellsDanRuinsYA.txt,Her voice sounded tinny and distant through the radio _ Samm bristled again at the oddness of trying to communicate without the link ,3,IRAC,3,1,"Her voice sounded tinny and distant through the radio , and Samm bristled again at the oddness of trying to communicate without the link .",test1
POS,YorkAlissaEffigyPW.txt,Somehow it's dawn_red light filtering through her cloudy windows,1,IRAC,1,1,"— 2 — SOMEHOW IT ’S DAWN , red light filtering through her cloudy windows by the time Dorrie lifts her thin knife and stands poised over the largest of the wolves .",test1
POS,YorkAlissaEffigyPW.txt,Somehow it’s dawn_She ’ll have no choice now but to deny her nocturnal tendencies and work through the day,1_2,IREC,3,1,"— 2 — SOMEHOW IT ’S DAWN , red light filtering through her cloudy windows by the time Dorrie lifts her thin knife and stands poised over the largest of the wolves ._She ’ll have no choice now but to deny her nocturnal tendencies and work through the day .",test1
POS,AuntJosScrapBagVIAn.txt,Pa told him to bring a dezzen oranges_the girls smacked their lips at the thought of this rare treat,1,IRAC,2.5,2,"Pa told him to bring a dezzen oranges , if they war n't too high ! """""""" shouted Sol and Seth , running to the door , while the girls smacked their lips at the thought of this rare treat , and Baby threw his apple overboard , as if getting ready for a new cargo .",test1
POS,delaCruzMelissaRiseoftheIsleoftheLostMG.txt,she worked at her mom ’s Fish and Chips Shoppe_Uma had bigger fish to fry — literally,3,IRAC,2.5,2,"Uma had bigger fish to fry — literally , since she worked at her mom ’s Fish and Chips Shoppe .",test1
POS,HannahKristinFireflyLaneBS.txt,her grandma always gave her stuff like this_projects to keep her busy and quiet,1,IRAC,1,2,"In front of her , on the coffee table , was an empty scrapbook .",test1
POS,SelfWillUmbrellaPW.txt,yet more evidence – if any were needed _ how the hospital altered its own cellular structure to create new morphologies for new pathologies to be diagnosed by psychiatrists accredited by new professional associations,2,IRAC,3,2,"Instead , her papery skin , oh so fine , crinkled into the flannelette of a too-big nightie .",test1
POS,SelfWillUmbrellaPW.txt,"her papery skin , oh so fine , crinkled_She was , Busner had thought, a dead dry moth",2_3,IREC,2,2,"Instead , her papery skin , oh so fine , crinkled into the flannelette of a too-big nightie ._She was , Busner had thought , a dead dry moth , its cellular structure decaying inside of this far larger one .",test1
POS,SilvaDanielEnglishGirlBS.txt,"But that ’s not the prime minister ’s only problem , ” _“ The generals are n’t sure they can destroy enough of the program to make a military strike effective ",1_2,IREC,1,2,"But that ’s not the prime minister ’s only problem , ” Shamron added ._“ The generals are n’t sure they can destroy enough of the program to make a military strike effective .",test1
POS,SoapBubbleStoriesFo.txt,the pipes were put aside_they threw themselves down on the fur rug,2,IRAC,1.5,2,"All the afternoon the children , pipe in hand , with soap suds before them , had been blowing airy bubbles that caught the gleams of a hundred flying rainbows -- but now in the fading daylight , the pipes were put aside , and they threw themselves down on the fur rug , and looked with thoughtful eyes into the caverns of the fire .",test1
POS,SoapBubbleStoriesFo.txt,"the pipes were put aside_"""""""" What can we do now ? """""""" they cried , """""""" Wo n't _ you _ make us some bubbles ? """"""""",2_3,IREC,2.5,2,"All the afternoon the children , pipe in hand , with soap suds before them , had been blowing airy bubbles that caught the gleams of a hundred flying rainbows -- but now in the fading daylight , the pipes were put aside , and they threw themselves down on the fur rug , and looked with thoughtful eyes into the caverns of the fire ._"""""""" What can we do now ? """""""" they cried , """""""" Wo n't _ you _ make us some bubbles ? """"""""",test1
